rarad,decrad,mag,ci
0.321814341681,0.132265609537,6.44,0.492
0.323242394081,0.497935015164,6.33,1.684
0.323440805336,0.281582320413,5.97,-0.082
0.324634083229,-0.138279394724,5.14,0.448
0.325968734223,0.122088156469,6.04,1.081
0.326461799772,-0.0169959245651,5.7,0.428
0.328045925613,-0.794677453936,4.97,0.571
0.329841693873,0.0159253476888,6.71,0.129
0.330575186778,-1.20211170627,4.25,0.48
0.331978362805,0.449760136912,6.76,2.608
0.33247800755,1.25216626794,5.87,2.042
0.332489223807,-0.733207864147,6.58,1.189
0.332531303636,1.52097583424,6.2,1.114
0.332988363521,0.577960895503,6.04,1.163
0.333393535975,0.83919349371,6.61,-0.04
0.333632045644,0.411713723786,6.69,0.046
0.333741638736,0.749434251578,6.59,0.594
0.333867676753,1.39469282685,6.27,0.44
0.334251497579,-0.0436396578355,5.42,0.888
0.335903607484,-0.0397788456624,6.52,0.563
0.33624583202,-1.15886116999,6.23,0.052
0.336343920449,0.783687603577,6.11,1.59
0.337183481077,0.689065427647,6.69,0.023
0.337729740772,0.554048088838,6.36,1.132
0.339013818042,0.778973847154,6.78,1.57
0.3390567513,-0.133683580886,6.8,0.273
0.339269435018,0.988407775687,6.68,1.021
0.339463327662,0.0630843320378,5.13,0.071
0.341077067764,0.827629999134,6.29,1.357
0.341349138205,1.00885555867,6.39,1.589
0.341696742692,1.18361983275,6.68,0.02
0.343550759963,-0.756302062713,6.78,1.491
0.343757909208,0.652513588944,6.44,0.233
0.34673824686,0.475847589066,4.74,0.032
0.346836531522,1.41187036495,6.7,0.022
0.348214653953,-0.00888422607884,5.87,0.635
0.34890308045,-0.276011896193,6.7,0.584
0.349283224733,-0.172504612769,6.65,0.405
0.349423416428,1.0163333351,4.95,0.683
0.350479585905,1.35386380942,6.31,0.912
0.351088116033,-0.196157544041,6.16,1.102
0.351579994127,-0.0566706627404,6.26,1.013
0.353808799697,1.12849727183,6.33,0.113
0.353965176277,0.50157633335,5.23,1.396
0.354702998288,-0.107503945801,6.78,0.966
0.354768336972,-0.868153671212,6.75,0.444
0.355218712703,-0.889017224955,6.6,1.085
0.357206648773,0.874793640551,6.54,1.104
0.357718238278,1.33061814953,6.37,0.283
0.358464852773,-0.646672012132,6.71,0.264
0.358707882989,0.760686332538,6.69,-0.131
0.359276883387,0.794627076337,4.87,1.077
0.360009267754,-0.333029897257,6.35,0.493
0.360325406625,-0.0078482739333,6.5,1.079
0.360479790467,0.0301301833788,6.21,1.482
0.360923086428,-0.638729869955,6.71,0.99
0.361690596438,0.198382920749,6.77,1.123
0.363404608938,-0.585523452169,6.8,1.524
0.363471206424,0.637300562021,6.8,0.031
0.363708393628,1.01478667625,6.36,0.457
0.363970174866,0.357250872483,5.97,1.677
0.364407221047,-0.540102911163,5.84,1.612
0.364696168426,-0.425035910953,6.66,0.24
0.364879050324,0.597703484612,6.28,0.829
0.365108587781,0.658249924848,5.6,0.276
0.365560175013,1.37402888444,6.07,0.389
0.365854969798,0.310988762519,6.59,0.403
0.366621351027,-0.142824770097,3.6,1.065
0.366703719786,-0.139755772371,6.21,0.235
0.367877261096,0.752971630998,6.69,0.035
0.368010163178,-0.120683514803,5.92,0.407
0.369423086545,-0.273326729484,6.17,0.924
0.369450556923,-0.595854768905,6.69,0.999
0.369484975039,-0.724181587039,5.42,1.03
0.36956740697,-0.777170244971,6.26,1.122
0.370059310725,-0.0497172736419,6.17,0.959
